case_id,stop_time_s,is_steady,dV_cell_30s,dp_ca_in_30s_kPa,dT_stack_30s_C,dRH_ca_in_30s,current_A,current_density_A_cm2,vehicle_boundary_note,pH2O_caIn_bench_kPa,pH2O_caIn_vehicle_kPa,pH2O_caIn_vehicle_minus_bench_kPa,xH2O_caIn_bench,xH2O_caIn_vehicle,xH2O_caIn_vehicle_minus_bench,RH_ca_in_bench,RH_ca_in_vehicle,RH_ca_in_vehicle_minus_bench,omega_ca_in_bench_kgpkg,omega_ca_in_vehicle_kgpkg,omega_ca_in_vehicle_minus_bench_kgpkg,T_ca_in_bench_C,T_ca_in_vehicle_C,T_stack_meas_C,T_stack_sim_C,T_stack_err_C,V_cell_meas,V_cell_sim,V_cell_err,E_rev_V,eta_act_V,eta_ohm_V,eta_con_V,pO2_ca_in_kPa,lambda_O2_actual,Q_gen_W,Q_cool_W,Q_amb_W,Q_gas_W,Q_cool_bench_W,Q_cool_err_W,p_ca_in_sim_kPa,p_stack_internal_kPa,p_ca_out_boundary_kPa,pressure_order_ok,hum_transfer_sim_kg_s,RH_hum_dry_out,RH_hum_wet_out,hum_wet_out_omega_kgpkg,model_name
bench_j0p10,120,1,0.000317463388381678,0,0.275748176451067,0.00782796090790139,38,0.1,humidifier dry outlet drives stack cathode inlet; bench inlet humidity is comparison only,15.1041914495239,17.8295188174185,2.72532736789461,0.106875580750213,0.118748419986544,0.0118728392363307,0.8,0.744640193231308,-0.0553598067686918,0.0747290078005827,0.0841493224077692,0.00942031460718648,58.9,64.0016774595138,61.1,61.9012913953553,0.8012913953553,0.80165625,0.79737384770663,-0.00428240229336962,1.19606444765461,0.392332102652358,0.0063549736964183,3.52359919948128e-06,27.7201591111012,4.91459241694795,277.628700594369,252.449830768813,332.117761336028,0,-383.166666666667,635.61649743548,150.145314097138,139.221299344181,133.825,1,7.9137817819866e-05,0.744640193231308,0.191598279199745,0.0183929131368473,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j0p20,120,1,0.000143155555405783,0,0.121023289414389,0.00340348991981032,76,0.2,humidifier dry outlet drives stack cathode inlet; bench inlet humidity is comparison only,12.6001255467509,19.3378518427171,6.73772629596622,0.0806537080925004,0.11728461505065,0.0366309069581499,0.6,0.744321613750689,0.144321613750689,0.054785786720762,0.0829741940822989,0.0281884073615368,61.2,65.8255067137443,63.9,63.641473162449,-0.258526837550981,0.7726375,0.775094596635718,0.00245709663571758,1.19661634141081,0.408260675895538,0.0132559567665347,5.11211302409368e-06,30.4910166504855,3.54997721868071,582.348970490967,369.321897282648,347.775953439646,0,585.199999999996,-215.878102717349,164.87969742976,151.646126293359,145.925,1,0.000112517961690212,0.744321613750689,0.247808351863638,0.0244510674052205,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j0p30,120,1,4.66620175254562e-06,0,0.00392106179357654,0.000106467093427209,114,0.3,humidifier dry outlet drives stack cathode inlet; bench inlet humidity is comparison only,13.2502512187837,19.9557495971155,6.70549837833187,0.0821338987682236,0.117485038062007,0.0353511392937835,0.6,0.723313062769639,0.123313062769639,0.055881209825274,0.0831348613847826,0.0272536515595086,62.3,67.1824030451335,65.35,65.0440132867908,-0.305986713209208,0.75044375,0.758851999136025,0.00840824913602545,1.19709902789361,0.417781732453177,0.0204578795415753,7.41676283016395e-06,31.4044786659946,2.9731471227948,903.14995357589,538.386994978356,360.39603224259,0,794.199999999996,-255.81300502164,169.857795735514,153.479255560228,147.425,1,0.000141663520350885,0.72331306276964,0.318405400284924,0.0332785540365722,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j0p40,120,1,0.000184871326821212,0,0.154330098156279,0.00411390919913268,152,0.4,humidifier dry outlet drives stack cathode inlet; bench inlet humidity is comparison only,14.1826668764259,21.2351651664323,7.05249829000649,0.0827339470697148,0.118026965721709,0.0352930186519941,0.6,0.715773123044696,0.115773123044696,0.0563262859019873,0.0835696584717321,0.0272433725697449,63.8,68.8391996241906,67.6,66.7288522029024,-0.871147797097592,0.73384375,0.744097519907662,0.0102537699076622,1.19627361185771,0.424827837257974,0.0273374942940549,1.07603980232135e-05,33.2440353446355,2.38807659696766,1240.08283158457,692.601042145091,375.556231314959,0,1421.2,-728.598957854906,179.917911441542,161.484427008848,157.525,1,0.0001526160063305,0.715773123044695,0.402889557958536,0.0429092509714191,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j0p60,300,1,2.36750058854041e-05,0,0.019727241250223,0.000488931406127047,228,0.6,humidifier dry outlet drives stack cathode inlet; bench inlet humidity is comparison only,17.5507092844266,25.741211952474,8.19050266804742,0.0917324410527981,0.128913278991181,0.037180837938383,0.6,0.691533055501976,0.0915330555019762,0.0630713083465451,0.0924185081873375,0.0293471998407924,68.6,74.1375914507216,72.9,72.1148623339214,-0.78513766607864,0.7102375,0.715840597247489,0.00560309724748942,1.19316140499074,0.436019453429271,0.0412787049388397,2.26493751355399e-05,36.4398647280051,1.98429552984753,1963.20550124116,1517.1840621215,424.033321242935,0,2173.6,-656.415937878498,199.678513756794,176.959614596534,174.825,1,0.000213070987671931,0.691533055501976,0.459426988155425,0.055879804825145,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j0p70,300,1,3.41289996459437e-05,0,0.0290111226220091,0.000707622683782105,266,0.7,humidifier dry outlet drives stack cathode inlet; bench inlet humidity is comparison only,20.5016941338125,29.7808782824885,9.27918414867601,0.101833821600956,0.142078302507354,0.0402444809063984,0.6,0.695742829165919,0.0957428291659191,0.070804039746134,0.103419587262912,0.032615547516778,72.2,77.4955528217592,76.2,75.4301340174881,-0.769865982511902,0.701175,0.701710075202024,0.000535075202024449,1.19011031271595,0.440847773291663,0.0475196040247581,3.28601975034568e-05,37.6739728796709,1.8802306717326,2350.54591994018,1864.33195175374,453.870559289215,0,2508,-643.668048246259,209.608911121013,184.319791936182,183.325,1,0.000266955585370841,0.695742829165919,0.431268124803055,0.0585364141657907,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j0p90,300,1,3.81063803390758e-05,0,0.0352882333680782,0.000826760068727395,342,0.9,humidifier dry outlet drives stack cathode inlet; bench inlet humidity is comparison only,22.3153867427077,31.7026229040336,9.38723616132589,0.100826326635978,0.138164995013166,0.0373386683771886,0.6,0.677813964391448,0.0778139643914483,0.0700249898095114,0.100114409019213,0.0300894192097011,74.2,79.6653910947735,78.65,77.6299593305727,-1.02004066942732,0.68263125,0.682070869655266,-0.000560380344734268,1.18969163965163,0.447553193315384,0.0599984098212914,6.91668596903311e-05,41.4290835372222,1.79201883121889,3129.59620124639,2616.57288850664,473.668846885837,0,3469.4,-852.827111493354,229.454811625858,201.264422872805,200.225,1,0.000315562197125121,0.677813964391448,0.492069661203076,0.0675325125828021,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j1p10,300,1,2.77877552029571e-05,0,0.027344270550671,0.000598603564294198,418,1.1,humidifier dry outlet drives stack cathode inlet; bench inlet humidity is comparison only,22.5987996002102,31.3335964539222,8.73479685371198,0.0936446683941169,0.125694594114301,0.0320499257201841,0.6,0.63832506527055,0.0383250652705502,0.0645219158489714,0.0897792821044879,0.0252573662555166,74.5,80.8612956005666,79.5,78.9839432573177,-0.516056742682338,0.6660375,0.664508013474816,-0.00152948652518348,1.19125255176494,0.452789923464571,0.0738090267024502,0.000145588123106037,45.6605182968672,1.79251825121533,3942.52240588043,3426.93143009395,485.854894594235,0,3894.36666666666,-467.435236572714,249.283564458062,219.831777990722,216.225,1,0.000341587858607132,0.63832506527055,0.579066661443925,0.0759346930505836,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j1p30,300,1,1.33894802881729e-05,0,0.0140785831427053,0.000287757177385828,494,1.3,humidifier dry outlet drives stack cathode inlet; bench inlet humidity is comparison only,18.6746015215954,30.4180431554229,11.7434416338275,0.074304591750106,0.117386361731466,0.0430817699813599,0.5,0.599226747989076,0.0992267479890757,0.0501268293237177,0.0830557492739655,0.0329289199502477,74.3,81.6973127911349,80.45,80.0027532505338,-0.447246749466231,0.646875,0.647103268587395,0.000228268587395442,1.19209433994846,0.457129886954584,0.0875547384917144,0.00030644591476952,47.9146467463154,1.78830007309157,4796.91176508523,4287.34337263054,495.024488376722,0,4754.75,-467.406627369459,259.127574164088,228.200245655149,221.225,1,0.000368837098518311,0.599226747989076,0.649683039191579,0.0842426903012239,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j1p50,300,1,3.64160740518038e-06,0,0.0041628873787829,8.6200900464517e-05,570,1.5,humidifier dry outlet drives stack cathode inlet; bench inlet humidity is comparison only,17.3810721984241,30.8450397395156,13.4639675410915,0.069185280917202,0.119148890189508,0.0499636092723055,0.45,0.606996477170034,0.156996477170034,0.046416582173903,0.0844714964050371,0.0380549142311341,75.1,81.7237258971358,80.6,79.8926274900885,-0.70737250991148,0.62398125,0.630408371603167,0.00642712160316683,1.19312698312459,0.460430050080102,0.101643528751322,0.000645032689998556,47.7729286392054,1.79048061762986,5687.15565097912,5189.16767353929,494.033568322614,0,6086.08000000001,-896.912326460715,258.878112003026,224.249931100493,213.825,1,0.000434348471054112,0.606996477170034,0.640250997730311,0.0889845077290157,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j1p70,300,1,1.70836433999177e-06,0,0.00213418149256484,4.27168386795129e-05,646,1.7,humidifier dry outlet drives stack cathode inlet; bench inlet humidity is comparison only,15.4498419541547,30.2845536224575,14.8347116683027,0.0614491079015799,0.116958461354919,0.0555093534533393,0.4,0.587895768703133,0.187895768703133,0.0408865482303065,0.0827128918218873,0.0418263435915808,75.1,82.0648357955352,80.65,80.2939287593826,-0.356071240617368,0.60195,0.61334800086016,0.0113980008601599,1.19370661113668,0.463539413722328,0.115461478434568,0.00135771811962219,47.902115242907,1.79621983471834,6621.77906310939,6122.20142170075,497.645320188019,0,6618.33333333333,-496.131911632588,258.934268385737,221.047962930422,205.725,1,0.000482190376617584,0.587895768703133,0.651913609471606,0.0953615846938763,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j1p80,120,1,0.000325344994335897,0,0.435097404841073,0.00897479924002031,684,1.8,humidifier dry outlet drives stack cathode inlet; bench inlet humidity is comparison only,15.5796576423336,30.2944449520582,14.7147873097246,0.0620147582538903,0.117116412652079,0.0551016543981886,0.4,0.598701791721692,0.198701791721692,0.041287799964113,0.0828394124420711,0.0415516124779581,75.3,81.6175033577178,80.35,79.7331816714941,-0.6168183285059,0.59018125,0.605225748541149,0.0150444985411493,1.19457451277373,0.464622593580806,0.12275636418701,0.00196980646476203,47.8445759100005,1.79201883121889,7100.18540796566,6236.44316828972,492.591212022894,0,7191.69,-955.246831710275,258.669508961607,218.467626006595,201.225,1,0.000510245735340854,0.598701791721692,0.64749393449424,0.097537395245188,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j1p90,120,1,0.000286005110546217,0,0.403797342030387,0.00824918983918599,722,1.9,humidifier dry outlet drives stack cathode inlet; bench inlet humidity is comparison only,15.7761088432364,30.4297122158397,14.6536033726032,0.0627717451237896,0.117623976704507,0.0548522315807176,0.4,0.594389622393598,0.194389622393598,0.0418255366429823,0.0832462831328745,0.0414207464898922,75.6,81.9095451436213,80.5,80.0237431714504,-0.476256828549566,0.57885625,0.596204844423027,0.0173485944230275,1.19471967826362,0.466020260228474,0.12963673629483,0.00285783731729089,47.8233189263962,1.79242362426864,7598.84963722519,6766.64451191663,495.206948579519,0,7530.96666666667,-764.322154750043,258.703310909855,215.84508840468,196.025,1,0.000541720231180326,0.594389622393598,0.637825859992124,0.100312974663816,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
