case_label,current_density_A_cm2,EGR,air_flow_scale,cathode_flow_nlpm,dq60_speed_rpm,dq60_flow_lpm,dq60_dp_kPa,dq60_power_W,dq60_operating_map_ok,xO2_ca_in,pO2_ca_in_kPa,delta_pO2_ca_in_kPa,V_cell_sim,delta_V_cell_sim,P_stack_sim_W,delta_P_stack_sim_W,lambda_O2_actual,RH_ca_in,T_stack_C,risk_label,normal_operation_ok
baseline_j0p10_EGR0,0.1,0,1,49.7,3000,57.0499440999394,28.9999999999993,39.0963808647117,0,0.187025321958766,26.4313536258225,0,0.760131603028192,0,462.160014641141,0,3.10576106374159,0.800000000000002,61.8038724040415,dq60_map_boundary,0
representative_j0p10_EGR0p25_DQ60_solved_min_stable_flow,0.1,0.25,1.5,74.55,3000,85.9795125509678,28.4020487433179,57.6512405647599,1,0.179998893544993,25.3307130656496,-1.10064056017291,0.762797639774092,0.00266603674590071,463.780964982648,1.62095034150718,3.38948553438858,0.828262999833576,61.8023160848701,pO2_target_miss,0
