case_index,case_id,is_no_egr,current_A,current_density_A_cm2,coolant_flow_L_min,coolant_in_T_C,stack_in_T_exp_C,stack_out_T_exp_C,stack_T_target_C,stack_T_sim_C,stack_T_err_C,stack_out_T_sim_C,stack_out_T_err_C,Qgen_W,Qcool_W,Qamb_W,Qgas_W,mCaOut_kg_s,mAnOut_kg_s,h_required_W_K,h_curve_W_K,target_minus_coolant_C,valid_h_required
1,initial_noegr_01,1,38,0.1,5.5,61.6,58.9,56,57.45,61.23567583898,3.78567583897998,63.57135167796,7.57135167795996,257.854022375183,-304.660865522011,326.120158146294,5.29359833390471,0.00104950624088012,5.95678528457149e-05,7.46993520996073,836,-4.15,1
2,initial_noegr_02,1,76,0.2,6,63.2,61.2,62.3,61.75,63.217928616173,1.46792861617299,65.235857232346,2.93585723234598,565.183735956511,14.9140995971034,343.960558488486,6.54481003977448,0.00151521773903926,5.85869110216759e-05,-160.448155535728,836,-1.45,0
3,initial_noegr_03,1,114,0.3,6,64.4,62.3,64.4,63.35,64.7440957666995,1.3940957666995,67.188191533399,2.788191533399,897.289649471324,287.574090001185,357.69589331341,9.87294476075962,0.00188705785051297,7.32043237042436e-05,-521.807599184815,836,-1.05,0
4,initial_noegr_04,1,152,0.4,6,65.9,63.8,67.5,65.65,66.6025489158259,0.952548915825858,69.4050978316517,1.90509783165173,1251.75558176264,587.227540861486,374.421827593006,11.9438567336436,0.00198620134454764,8.66177955340414e-05,-3512.083737885,836,-0.25,0
5,initial_noegr_05,1,228,0.6,6,70.3,68.6,73.7,71.15,71.8128080314553,0.662808031455285,75.0256160629106,1.32561606291058,2022.45423111037,1264.58872701692,421.31399347267,16.8489037611968,0.00244651367139672,0.000101757456908447,1874.97728801077,836,0.850000000000009,1
6,initial_noegr_06,1,266,0.7,6,73.2,72.2,77.1,74.65,75.2020228632639,0.552022863263886,78.2040457265278,1.10404572652779,2441.83361459593,1673.57996751394,451.817009219648,17.2992060556942,0.00270325626115305,8.1841419586683e-05,1366.11367177959,836,1.45,1
7,initial_noegr_07,1,342,0.9,6,74.5,74.2,80.5,77.35,77.4426477221421,0.0926477221420896,80.6852954442842,0.185295444284165,3278.28211376567,2459.93324009846,471.982534881443,22.7118797899779,0.00329768810969148,7.55060783183695e-05,977.216901952993,836,2.84999999999999,1
8,initial_noegr_08,1,418,1.1,6.5,75.2,74.5,81.8,78.15,78.7820597832851,0.632059783285115,83.0641195665702,1.26411956657024,4141.62578887945,3244.00044265295,484.037030530596,36.7085732059093,0.00403791605298085,8.89099320554223e-05,1231.18115763347,905.666666666667,2.95,1
9,initial_noegr_09,1,494,1.3,7.5,75.9,74.3,82.6,78.45,79.8414207527234,1.39142075272345,85.3828415054469,2.78284150544688,5045.2954278786,4118.60989680107,493.571281407856,56.7725859817949,0.00482706278959505,0.000103437327175965,1773.22621471143,1045,2.54999999999998,1
10,initial_noegr_10,1,570,1.5,9.1,75.8,75.1,83.1,79.1,79.9129694972208,0.812969497220806,84.7259389944416,1.62593899444161,5978.64456798386,5214.85149975178,494.215876358719,57.2981249466323,0.00561053250210036,0.000117197696283325,1649.73450443692,1267.93333333334,3.3,1
11,initial_noegr_11,1,646,1.7,10,75.9,75.1,83,79.05,80.3518189899455,1.30181898994552,85.603637979891,2.60363797989103,6952.6771070241,6202.75632170898,498.165650881852,71.748220117936,0.00643970949010048,0.000131821368636494,2035.63904370708,1393.33333333333,3.14999999999999,1
12,initial_noegr_12,1,684,1.8,11.1,75.7,75.3,83.2,79.25,80.0716488210126,0.821648821012573,84.8432976420251,1.64329764202515,7445.03732673039,6761.10995557455,495.64436156742,68.8275861715668,0.00680023926835797,0.000137081344975382,1943.60867524538,1546.6,3.55,1
13,initial_noegr_13,1,722,1.9,11.5,75.8,75.6,83.4,79.5,80.3430728206811,0.843072820681115,85.0861456413622,1.68614564136223,7955.59354979007,7279.44177725934,498.087232782609,72.4136595585425,0.00719797343982988,0.000144431356210804,2001.50018943626,1602.33333333333,3.7,1
14,cegr0608_001,1,38,0.1,5.5,60.1,50.12,52.16,51.14,58.9666364691305,7.82663646913049,67.813272938261,15.653272938261,256.516147018961,-947.817177086054,305.696226562471,23.2221716226819,0.00122477259923556,5.05379369823101e-05,-2.07349977465295,836,-8.96,0
15,cegr0608_002,0,38,0.1,5.5,60.7,51.72,53.06,52.39,59.6697480414594,7.27974804145945,67.6194960829189,14.5594960829189,257.750937064448,-861.58297822326,312.024585162668,20.5067134350243,0.00120305670387221,5.07018640671301e-05,-1.14471329972664,836,-8.31,0
16,cegr0608_003,0,38,0.1,5.5,60.1,52.78,52.13,52.455,59.2518759706797,6.79687597067971,65.7237519413594,13.5937519413594,257.079692963548,-709.269609596925,308.264322384722,17.7471313440291,0.00128039153977418,5.09439083341328e-05,-1.42034796461004,836,-7.645,0
17,cegr0608_004,0,38,0.1,5.5,60,52.91,53.28,53.095,59.1779158866998,6.08291588669977,65.4458317733995,12.1658317733995,256.682671865889,-687.492764873794,307.598762100641,16.3567604177101,0.00121660381774805,5.22360856448561e-05,-0.48441338494681,836,-6.905,0
18,cegr0608_005,0,38,0.1,5.5,60,53.12,53.44,53.28,59.1997398273404,5.91973982734043,65.2794796546809,11.8394796546809,256.634537025748,-669.240965551323,307.795252763203,16.6595347115843,0.00127846814706653,5.28663587318019e-05,-0.249418181557608,836,-6.72,0
19,cegr0608_006,0,38,0.1,5.5,60.1,53.16,53.66,53.41,59.2930233650787,5.88302336507871,65.4260467301574,11.7660467301574,256.720159567961,-674.85788005555,308.634783587919,16.268808613939,0.00123606176825596,5.43277313782444e-05,-0.0548529312615287,836,-6.69,0
20,cegr0608_007,0,38,0.1,5.5,60.1,53.31,53.81,53.56,59.309025086941,5.74902508694105,65.3080501738821,11.4980501738821,256.905796967624,-661.475466053797,308.778852638177,16.3163372350957,0.00126771536432209,5.49988197524195e-05,0.124494004408253,836,-6.54,1
21,cegr0608_008,1,38,0.1,5.5,60.2,52.69,53.06,52.875,59.333926231673,6.45892623167296,65.9778524633459,12.9178524633459,256.746803077635,-724.282163301687,309.002703983594,14.0008967999621,0.000977426649499738,5.22090825537214e-05,-0.748386513313097,836,-7.325,0
